Set_ID,Name,Year,Theme,Theme_Group,Subtheme,Category,Packaging,Num_Instructions,Availability,Pieces,Minifigures,Owned,Rating,USD_MSRP,Total_Quantity,Current_Price
7272-1,Pear,2005,Creator,Model making,Designer Set,Normal,Polybag,0,Promotional,10,,77,0,,0,
7274-1,Orange,2005,Creator,Model making,Designer Set,Normal,Polybag,0,Promotional,7,,71,0,,1,9.5
7275-1,Cherry,2005,Creator,Model making,Designer Set,Normal,Polybag,0,Promotional,11,,54,0,,0,
7276-1,Mango,2005,Creator,Model making,Designer Set,Normal,Polybag,0,Promotional,6,,54,0,,0,
7278-1,Melon,2005,Creator,Model making,Designer Set,Normal,Polybag,0,Promotional,8,,54,0,,0,
7280-1,Straight & Crossroad Plates,2005,City,Modern day,Road Plates,Normal,Shrink-wrapped,0,Retail,2,,8100,3.7,14.99,16,15.99
7281-1,T-Junction & Curved Road Plates,2005,City,Modern day,Road Plates,Normal,Shrink-wrapped,0,Retail,2,,7529,3.7,14.99,5,15.99
7283-1,Ultimate Space Battle,2005,Star Wars,Licensed,Episode III,Normal,Box,1,{Not specified},567,4,1607,4.7,,3,399.99
7294-1,Dino Quad,2005,Dino 2010,Action/Adventure,,Normal,Box,1,{Not specified},39,1,1330,3.8,,0,
7295-1,Dino Buggy Chaser,2005,Dino 2010,Action/Adventure,,Normal,Box,1,{Not specified},83,1,1000,0,,0,
7296-1,Dino 4WD Trapper,2005,Dino 2010,Action/Adventure,,Normal,Box,1,{Not specified},283,1,1026,3.8,,0,
7297-1,Dino Track Transport,2005,Dino 2010,Action/Adventure,,Normal,Box,1,{Not specified},363,3,679,0,,0,
7298-1,Dino Air Tracker,2005,Dino 2010,Action/Adventure,,Normal,Box,2,{Not specified},711,4,780,4.3,,0,
7324-1,City Advent Calendar,2005,City,Modern day,Seasonal,Normal,Box,0,Retail - limited,203,9,1320,0,,0,
7344-1,Dump Truck,2005,City,Modern day,Construction,Normal,Box,2,Retail,187,1,2415,4.3,,2,100
7473-1,Steel Sprinter vs. Mutant Lizard,2005,Dino Attack,Action/Adventure,,Normal,Box,1,Retail,42,1,2263,3.9,,1,28.99
7474-1,Urban Avenger vs. Raptor,2005,Dino Attack,Action/Adventure,,Normal,Box,1,Retail,87,1,1837,4.1,,1,100
7475-1,Fire Hammer vs. Mutant Lizards,2005,Dino Attack,Action/Adventure,,Normal,Box,1,Retail,254,1,1776,4.4,,2,110
7476-1,Iron Predator vs. T-Rex,2005,Dino Attack,Action/Adventure,,Normal,Box,1,Retail,278,3,1265,4.2,,0,
7477-1,T-1 Typhoon vs. T-Rex,2005,Dino Attack,Action/Adventure,,Normal,Box,1,Retail,605,4,1374,4.7,,1,295
7523-1,Hip Hair Set,2005,Clikits,Girls,,Normal,{Not specified},0,{Not specified},16,,46,0,,0,
7527-1,Pretty in Pink Beauty Set,2005,Clikits,Girls,,Normal,{Not specified},1,{Not specified},136,,30,0,,0,
7533-1,Pretty In Pink Jewels-n-More,2005,Clikits,Girls,,Normal,{Not specified},1,{Not specified},67,1,52,0,,1,9.54
7534-1,Stylin' Citrus Jewels-n-More,2005,Clikits,Girls,,Normal,{Not specified},1,{Not specified},67,1,50,0,,0,
7535-1,Groovy Grape Jewels-n-More,2005,Clikits,Girls,,Normal,{Not specified},1,{Not specified},67,1,51,0,,0,
7536-1,Modern Magnetic Room Decor,2005,Clikits,Girls,,Normal,{Not specified},1,{Not specified},72,,35,0,,0,
7537-1,Cool Carry-All Set,2005,Clikits,Girls,,Normal,{Not specified},1,{Not specified},74,,31,0,,0,
7538-1,Totally Clikits Fashion Bag and Accessories,2005,Clikits,Girls,,Normal,{Not specified},1,{Not specified},125,,25,0,,0,
7540-1,Friends 4-Ever Jewels & More,2005,Clikits,Girls,,Normal,{Not specified},1,{Not specified},66,,24,0,,0,
7541-1,Friendship Frames & Notes,2005,Clikits,Girls,,Normal,{Not specified},1,{Not specified},70,,29,0,,0,
7542-1,Flashin' Fashion Frame,2005,Clikits,Girls,,Normal,{Not specified},1,{Not specified},50,,37,0,,0,
7557-1,Blooms and Butterflies,2005,Clikits,Girls,,Normal,{Not specified},0,{Not specified},14,,66,0,,0,
7558-1,Shells and Starfish,2005,Clikits,Girls,,Normal,{Not specified},0,{Not specified},14,,80,0,,2,7.833
7559-1,Sports and Stars,2005,Clikits,Girls,,Normal,{Not specified},0,{Not specified},14,,89,0,,0,
7574-1,Holiday Gift Calendar,2005,Clikits,Girls,,Normal,{Not specified},1,{Not specified},115,,50,0,,1,50
7840-1,Airport Action Set,2005,Duplo,Pre-school,Airport,Normal,{Not specified},1,{Not specified},103,5,194,0,79.99,0,
7841-1,Helicopter Rescue Unit,2005,Duplo,Pre-school,Airport,Normal,{Not specified},0,{Not specified},25,3,96,0,,0,
7842-1,Jet Fuel Truck,2005,Duplo,Pre-school,Airport,Normal,{Not specified},0,{Not specified},10,1,151,0,,0,
7843-1,Plane,2005,Duplo,Pre-school,Airport,Normal,{Not specified},1,{Not specified},32,2,148,0,39.99,0,
7870-1,Hans Christian Andersen Bucket,2005,Creator,Model making,Bucket,Normal,Bucket,1,LEGO exclusive,500,,104,0,,0,
8415-1,Dump Truck,2005,Technic,Technical,,Normal,Box,2,Retail,284,,931,0,,0,
8416-1,Fork-Lift,2005,Technic,Technical,,Normal,Box,3,Retail,729,,1490,3.9,69.99,1,169.6085
8418-1,Mini Loader,2005,Technic,Technical,,Normal,Box,2,Retail,66,,1971,3.6,5.99,0,
8419-1,Excavator,2005,Technic,Technical,,Normal,Box,2,Retail,286,,1679,3.8,,1,48.88
8420-1,Street Bike,2005,Technic,Technical,,Normal,Box,2,Retail,506,,2031,4.2,,0,
8421-1,Mobile Crane,2005,Technic,Technical,,Normal,Box,3,Retail,1884,,3839,4.4,,0,
8641-1,Flame Glider,2005,Racers,Racing,Tiny Turbos,Normal,Canister,1,Retail,52,,2123,3.7,,2,14.76
8642-1,Monster Crusher,2005,Racers,Racing,Tiny Turbos,Normal,Canister,1,Retail,43,,1659,3.7,,1,15
8643-1,Power Cruiser,2005,Racers,Racing,Tiny Turbos,Normal,Canister,1,Retail,46,,2008,3.8,,1,15
8644-1,Street Maniac,2005,Racers,Racing,Tiny Turbos,Normal,Canister,1,Retail,36,,2134,3.8,,1,15
8645-1,Muscle Slammer Bike,2005,Racers,Racing,Power Racers,Normal,Box,1,Retail,126,,731,0,,0,
8646-1,Speed Slammer Bike,2005,Racers,Racing,Power Racers,Normal,Box,1,Retail,126,,732,0,,0,
8647-1,Night Racer,2005,Racers,Racing,Power Racers,Normal,Box,1,Retail,76,,989,3.5,,0,
8648-1,Buzz Saw,2005,Racers,Racing,Power Racers,Normal,Box,1,Retail,64,,829,0,,0,
8649-1,Nitro Menace,2005,Racers,Racing,Power Racers,Normal,Box,1,Retail,622,,603,0,,0,
8650-1,Furious Slammer Racer,2005,Racers,Racing,Power Racers,Normal,Box,1,Retail,254,,522,0,,0,
8651-1,Jumping Giant,2005,Racers,Racing,Power Racers,Normal,Box,1,Retail,242,,336,0,,0,
